STT,Title,Genre,Engine,Icon
1,Hole Pocket 3D,Hyper Casual,Unity,hole_pocket
2,Vihecle Transform Race,Hyper Casual,Unity,vihecle_transform_race
3,Sort The Jellyball,Hyper Casual,Unity,sort_the_jellyball
4,Hyper Basketball Shoot,Hyper Casual,Unity,hyper_basketball_shoot
5,Candy Jars 3D,Hyper Casual,Unity,candyjars3d
6,Smash Hammer,Hyper Casual,Unity,smash_hammer
7,Alien Autopsy Sim,Hyper Casual,Unity,alien_autopsy_sim
8,Color Shooting,Hyper Casual,Unity,color_shooting
9,Die Cutting Art,Hyper Casual,Unity,die_cutting_art
10,Marble Pocket 3D,Hyper Casual,Unity,marblepocket3d
11,Slime Royale,RPG - NFT,Unity,slime_royale
12,Tici App,Education,Unity,tici_app
13,Start Verse,RPG - NFT,Unity,start_verse
14,Habit Hunter,RPG Goal Tracker,Unity,habit_hunter
15,Miverse,Moba - NFT,Unity,miverse
16,Meep Labo,Simulation - NFT,Unity,meep_labo
17,Tobika,Education,Unity,tobika
18,Neko Mart,Idle Tycoon,Unity,neko_mart
19,Neko LandLord,Slot Machine,Godot,neko_landlord
20,Sodoku,Puzzle,Unity,sodoku
21,Airspeeder,Racing,UE5,airspeeder
22,ZeroPutt,Sports Game,Unity,zero_putt
23,JJSDK,Native Plugin,"""Unity, UE5""",jjsdk
24,Dancing Road,Music Game,Unity,dancing_road
25,Vietnam casino game,Gambling,Cocos Creator,vietnam_casino_game
